site.id,plot.id,lat_dec,long_dec,stand.age,carbon_stock,accumulation_rate,AMT,AMP,soil.classification
11,8994,16.33,-90.67,5.0,65.19668797799999,13.039337595599997,26.0,2250.0,Unknown
11,8995,16.33,-90.67,5.0,141.548165935,28.309633186999996,26.0,2250.0,Unknown
11,8996,16.33,-90.67,5.0,140.884699835,28.176939967,26.0,2250.0,Unknown
11,8997,16.33,-90.67,5.0,103.17243441299999,20.634486882599997,26.0,2250.0,Unknown
11,8998,16.33,-90.67,6.0,30.969377239999996,5.161562873333333,26.0,2250.0,Unknown
11,8999,16.33,-90.67,6.0,57.535358648999996,9.5892264415,26.0,2250.0,Unknown
11,9000,16.33,-90.67,6.0,41.194935793199996,6.8658226321999996,26.0,2250.0,Unknown
11,9001,16.33,-90.67,6.0,39.4769543201,6.5794923866833335,26.0,2250.0,Unknown
11,9002,16.33,-90.67,7.0,84.35698241099999,12.050997487285713,26.0,2250.0,Unknown
11,9003,16.33,-90.67,8.0,41.9538625263,5.2442328157875,26.0,2250.0,Unknown
11,9004,16.33,-90.67,8.0,67.719407949,8.464925993625,26.0,2250.0,Unknown
11,9005,16.33,-90.67,8.0,71.135341347,8.891917668375,26.0,2250.0,Unknown
11,9006,16.33,-90.67,8.0,58.84621971599999,7.355777464499999,26.0,2250.0,Unknown
11,9007,16.33,-90.67,8.0,95.238568252,11.9048210315,26.0,2250.0,Unknown
11,9008,16.33,-90.67,10.0,46.927121104399994,4.69271211044,26.0,2250.0,Unknown
11,9009,16.33,-90.67,10.0,43.934766097799994,4.3934766097799995,26.0,2250.0,Unknown
11,9010,16.33,-90.67,10.0,90.925143816,9.092514381600001,26.0,2250.0,Unknown
11,9011,16.33,-90.67,10.0,62.590292732,6.2590292732,26.0,2250.0,Unknown
11,9012,16.33,-90.67,10.0,30.9273441107,3.09273441107,26.0,2250.0,Unknown
11,9013,16.33,-90.67,10.0,46.16986259869999,4.616986259869999,26.0,2250.0,Unknown
11,9014,16.33,-90.67,10.0,121.84190836299999,12.184190836299999,26.0,2250.0,Unknown
11,9015,16.33,-90.67,10.0,48.28619062599999,4.8286190626,26.0,2250.0,Unknown
11,9016,16.33,-90.67,12.0,130.732358051,10.894363170916668,26.0,2250.0,Unknown
11,9017,16.33,-90.67,12.0,43.9745400076,3.6645450006333333,26.0,2250.0,Unknown
11,9018,16.33,-90.67,12.0,50.658085905,4.22150715875,26.0,2250.0,Unknown
11,9019,16.33,-90.67,12.0,56.41794554,4.701495461666666,26.0,2250.0,Unknown
11,9020,16.33,-90.67,12.0,106.22370077999999,8.851975065,26.0,2250.0,Unknown
11,9021,16.33,-90.67,12.0,84.245007637,7.020417303083334,26.0,2250.0,Unknown
11,9022,16.33,-90.67,12.0,75.105700328,6.2588083606666665,26.0,2250.0,Unknown
11,9023,16.33,-90.67,12.0,111.761801208,9.313483434,26.0,2250.0,Unknown
11,9024,16.33,-90.67,15.0,65.35208826099999,4.356805884066666,26.0,2250.0,Unknown
11,9025,16.33,-90.67,15.0,66.19027502799999,4.412685001866666,26.0,2250.0,Unknown
11,9026,16.33,-90.67,15.0,95.950940531,6.396729368733333,26.0,2250.0,Unknown
11,9027,16.33,-90.67,15.0,87.615000086,5.841000005733333,26.0,2250.0,Unknown
11,9028,16.33,-90.67,15.0,70.92682814999999,4.728455209999999,26.0,2250.0,Unknown
11,9029,16.33,-90.67,15.0,65.334960333,4.3556640222,26.0,2250.0,Unknown
11,9030,16.33,-90.67,15.0,246.01509535699998,16.401006357133333,26.0,2250.0,Unknown
11,9031,16.33,-90.67,15.0,63.60454690399999,4.240303126933332,26.0,2250.0,Unknown
11,9032,16.33,-90.67,15.0,113.706354768,7.580423651199999,26.0,2250.0,Unknown
11,9033,16.33,-90.67,15.0,75.28259197199999,5.018839464799999,26.0,2250.0,Unknown
11,9034,16.33,-90.67,15.0,92.648348996,6.176556599733333,26.0,2250.0,Unknown
11,9035,16.33,-90.67,15.0,138.29979247199998,9.219986164799998,26.0,2250.0,Unknown
11,9036,16.33,-90.67,15.0,16.289725591399996,1.085981706093333,26.0,2250.0,Unknown
11,9037,16.33,-90.67,15.0,122.36940069,8.157960046000001,26.0,2250.0,Unknown
11,9038,16.33,-90.67,16.0,171.958451244,10.74740320275,26.0,2250.0,Unknown
11,9039,16.33,-90.67,17.0,240.372997982,14.139588116588234,26.0,2250.0,Unknown
11,9040,16.33,-90.67,17.0,139.667001933,8.215705996058823,26.0,2250.0,Unknown
11,9041,16.33,-90.67,19.0,112.27960622399999,5.909452959157894,26.0,2250.0,Unknown
11,9042,16.33,-90.67,20.0,83.329824342,4.1664912171,26.0,2250.0,Unknown
11,9043,16.33,-90.67,20.0,456.277257767,22.81386288835,26.0,2250.0,Unknown
11,9044,16.33,-90.67,20.0,83.09585335999999,4.154792668,26.0,2250.0,Unknown
11,9045,16.33,-90.67,20.0,100.77465637499999,5.03873281875,26.0,2250.0,Unknown
11,9046,16.33,-90.67,20.0,71.87504821499999,3.5937524107499996,26.0,2250.0,Unknown
11,9047,16.33,-90.67,20.0,86.290130105,4.31450650525,26.0,2250.0,Unknown
11,9048,16.33,-90.67,20.0,217.24493360999998,10.862246680499998,26.0,2250.0,Unknown
11,9049,16.33,-90.67,20.0,121.65622701399998,6.082811350699999,26.0,2250.0,Unknown
11,9050,16.33,-90.67,20.0,44.2043686634,2.2102184331699997,26.0,2250.0,Unknown
11,9051,16.33,-90.67,30.0,137.002013291,4.566733776366666,26.0,2250.0,Unknown
11,9052,16.33,-90.67,30.0,32.1103832492,1.0703461083066665,26.0,2250.0,Unknown
11,9053,16.33,-90.67,30.0,94.672520603,3.1557506867666665,26.0,2250.0,Unknown
11,9054,16.33,-90.67,30.0,52.191879769,1.7397293256333335,26.0,2250.0,Unknown
11,9055,16.33,-90.67,30.0,160.48095306099998,5.349365102033333,26.0,2250.0,Unknown
11,9056,16.33,-90.67,30.0,237.042550111,7.901418337033333,26.0,2250.0,Unknown
14,9064,-22.32,-47.57,11.0,22.953479130799998,2.086679920981818,26.0,1367.0,Unknown
14,9065,-22.32,-47.57,11.0,40.2042044585,3.6549276780454547,26.0,1367.0,Unknown
14,9066,-22.32,-47.57,11.0,72.12320802699999,6.556655275181817,26.0,1367.0,Unknown
14,9067,-22.32,-47.57,18.0,28.071923256299996,1.5595512920166665,26.0,1367.0,Unknown
14,9068,-22.32,-47.57,18.0,27.7343004295,1.5407944683055554,26.0,1367.0,Unknown
14,9069,-22.32,-47.57,29.0,106.98005161699999,3.6889672971379306,26.0,1367.0,Unknown
14,9070,-22.32,-47.57,29.0,51.426532050999995,1.773328691413793,26.0,1367.0,Unknown
14,9071,-22.32,-47.57,29.0,131.161347778,4.522805095793103,26.0,1367.0,Unknown
14,9072,-22.32,-47.57,29.0,57.606695249,1.9864377672068965,26.0,1367.0,Unknown
15,9074,-19.35,-43.62,10.0,42.097824908099994,4.2097824908099994,26.0,1519.0,Unknown
15,9075,-19.35,-43.62,18.0,61.956148334,3.4420082407777777,26.0,1519.0,Unknown
15,9076,-19.35,-43.62,18.0,46.756402990299996,2.5975779439055553,26.0,1519.0,Unknown
15,9077,-19.35,-43.62,18.0,62.141662550999996,3.4523145861666666,26.0,1519.0,Unknown
15,9081,-19.35,-43.62,8.0,33.913574133699996,4.2391967667124995,26.0,1519.0,Unknown
15,9082,-19.35,-43.62,8.0,12.326777457599999,1.5408471821999998,26.0,1519.0,Unknown
16,9083,17.27,-91.66,10.0,93.35525921699998,9.335525921699999,26.0,2750.0,Unknown
16,9084,17.27,-91.66,12.0,87.685879517,7.307156626416667,26.0,2750.0,Unknown
16,9085,17.27,-91.66,12.0,33.8381190271,2.8198432522583334,26.0,2750.0,Unknown
16,9086,17.27,-91.66,12.0,120.533112805,10.044426067083334,26.0,2750.0,Unknown
16,9087,17.27,-91.66,12.0,18.9709705981,1.5809142165083332,26.0,2750.0,Unknown
16,9088,17.27,-91.66,14.0,15.939314760199998,1.1385224828714284,26.0,2750.0,Unknown
16,9089,17.27,-91.66,15.0,3.85753306755,0.25716887117,26.0,2750.0,Unknown
16,9090,17.27,-91.66,15.0,25.228048962399996,1.6818699308266665,26.0,2750.0,Unknown
16,9091,17.27,-91.66,15.0,10.0473367951,0.6698224530066667,26.0,2750.0,Unknown
16,9092,17.27,-91.66,15.0,2.7547676053699997,0.1836511736913333,26.0,2750.0,Unknown
16,9093,17.27,-91.66,2.0,24.7906528201,12.39532641005,26.0,2750.0,Unknown
16,9094,17.27,-91.66,2.0,53.652459805999996,26.826229902999998,26.0,2750.0,Unknown
16,9095,17.27,-91.66,20.0,72.21850217199999,3.610925108599999,26.0,2750.0,Unknown
16,9096,17.27,-91.66,20.0,22.3716592641,1.118582963205,26.0,2750.0,Unknown
16,9097,17.27,-91.66,20.0,12.718324084699999,0.635916204235,26.0,2750.0,Unknown
16,9098,17.27,-91.66,20.0,141.109393158,7.0554696579,26.0,2750.0,Unknown
16,9099,17.27,-91.66,20.0,12.781962169299998,0.6390981084649999,26.0,2750.0,Unknown
16,9100,17.27,-91.66,20.0,7.1606409657,0.358032048285,26.0,2750.0,Unknown
16,9101,17.27,-91.66,23.0,107.394527462,4.669327280956522,26.0,2750.0,Unknown
16,9102,17.27,-91.66,25.0,74.961706193,2.99846824772,26.0,2750.0,Unknown
16,9103,17.27,-91.66,25.0,33.6113113198,1.344452452792,26.0,2750.0,Unknown
16,9104,17.27,-91.66,25.0,92.88988895199999,3.7155955580799995,26.0,2750.0,Unknown
16,9105,17.27,-91.66,25.0,21.7290061318,0.869160245272,26.0,2750.0,Unknown
16,9106,17.27,-91.66,25.0,4.316808497099999,0.17267233988399996,26.0,2750.0,Unknown
16,9107,17.27,-91.66,25.0,13.0170116415,0.52068046566,26.0,2750.0,Unknown
16,9108,17.27,-91.66,25.0,0.0,0.0,26.0,2750.0,Unknown
16,9109,17.27,-91.66,28.0,5.5983104924,0.19993966044285713,26.0,2750.0,Unknown
16,9110,17.27,-91.66,3.0,127.61943713099998,42.539812377,26.0,2750.0,Unknown
16,9111,17.27,-91.66,3.0,12.8293106837,4.276436894566666,26.0,2750.0,Unknown
16,9112,17.27,-91.66,3.0,24.346126998699997,8.115375666233332,26.0,2750.0,Unknown
16,9113,17.27,-91.66,3.0,10.5216203657,3.5072067885666667,26.0,2750.0,Unknown
